pdb_id	smiles	PDBbind_pKd	BindingDB_pKd	delta_pKd	fold_diff	conflict	PDBbind_type	BindingDB_type
4YZU	Cc1cc2nc(CCNC(=O)c3ccc(-n4cnnc4)cc3)[nH]c2cc1C	5.05	5.045757490560675	-0.004242509439325026	1.0098166088717675	False	Ki	Ki
3MW1	[O-][n+]1ccc2c(-c3ccc(F)cc3F)cc(C3CCNCC3)nc2c1-c1c(Cl)cccc1Cl	9.09	9.086186147616283	-0.003813852383716565	1.0088203920661525	False	IC50	IC50
5AQZ	NC(=O)c1cn(C2OC(CO)C(O)C2O)c2ncnc(N)c12	5.48	4.918724720470666	-0.5612752795293341	3.6414577844607536	False	Kd	IC50
5YE8	CS(=O)(=O)Nc1ccc(F)c(F)c1	3.0	3.0	0.0	1.0	False	Unknown	IC50
3M2W	CN1CC2(CNC(=O)c3c2[nH]c2c3CCc3cnc(-c4ccccc4F)cc3-2)C1	8.52	8.522878745280337	0.0028787452803378244	1.0066505734673394	False	Unknown	IC50
5ER5	CC[n+]1c(-c2ccccc2)c2cc(N)ccc2c2ccc(N)cc21	3.67	5.6777807052660805	2.0077807052660805	101.8077185477253	True	Kd	IC50
2OHL	Nc1ccc2ccccc2n1	3.05	3.903089986991944	0.8530899869919444	7.130007505069977	False	Kd	Kd
6GJY	C#CCN(Cc1ccc(N)cc1)C(=O)NCC(=O)OCC	3.0	3.0	0.0	1.0	False	Unknown	Kd
5YE9	CC(=O)Nc1ccc(S(=O)(=O)Nc2ccc(Oc3ccc4ccccc4c3)c(C#N)c2)cc1	6.45	6.449771646944906	-0.00022835305509438797	1.0005259405988818	False	IC50	IC50
4FGZ	CCN(CC)Cc1cc(Nc2ccnc3cc(Cl)ccc23)ccc1O	2.87	4.279014255846261	1.4090142558462606	25.64568217854853	True	IC50	Kd
1T7J	CC(C)CN(CC(O)C(Cc1ccccc1)NC(=O)OC1CCOC1)S(=O)(=O)c1ccc(N)cc1	8.7	9.397940008672036	0.6979400086720364	4.988155787422185	False	Kd	Kd
3C0Z	O=C(CCCCCCC(=O)Nc1ccccc1)NO	3.95	6.236572006437063	2.286572006437063	193.45145763826966	True	IC50	Kd
1Y2K	CCOC(=O)c1c(C)nn(-c2cccc([N+](=O)[O-])c2)c1C	7.68	7.481486060122112	-0.19851393987788768	1.5794793046647073	False	IC50	IC50
3O5X	Cn1c(-c2ccccc2)c(-c2cn(CCC(=O)Nc3ccc(-c4ccccc4)cc3)nn2)c2cc(C(=O)O)c(O)cc21	5.28	5.2839966563652006	0.003996656365200302	1.009245115864946	False	Ki	Ki
6OIR	O=C(NNS(=O)(=O)c1ccccc1)c1cc(-c2ccccc2)ccc1F	7.77	7.769551078621726	-0.00044892137827368117	1.0010342141045008	False	IC50	IC50
5NSP	N#Cc1ccc2c(c1)[nH]c(=O)n2-c1ccc(-c2nnc(-c3ccncn3)n2-c2ccccc2Cl)cc1	6.47	5.0	-1.4699999999999998	29.51209226666384	True	IC50	IC50
4UYE	COc1ccccc1C(=O)Nc1cc2c(cc1N1CCCCC1)n(C)c(=O)n2C	8.02	6.0	-2.0199999999999996	104.71285480508985	True	Kd	IC50
6OP9	COc1cc(Nc2c(C#N)cnc3cc(OCCCN4CCN(C)CC4)c(OC)cc23)c(Cl)cc1Cl	9.28	5.0	-4.279999999999999	19054.607179632443	True	Kd	Kd
5ZK8	C[N+]1(C)C2CC(OC(=O)C(CO)c3ccccc3)CC1C1OC12	8.89	9.356547323513812	0.46654732351381156	2.9278398902116614	False	Kd	Kd
6FGQ	CCS(=O)(=O)c1ccc(CC(=O)Nc2cc(-c3cccnc3OCc3ccc(C(=O)OC)cc3)cs2)cc1	7.85	7.67778070526608	-0.17221929473392006	1.4866861472066923	False	IC50	IC50
4Q7W	Cc1cccc(=S)n1O	2.64	2.638272163982407	-0.0017278360175931873	1.0039864141523824	False	Ki	Ki
3DNE	c1ccc2c(-c3ccncc3)n[nH]c2c1	5.22	5.79997073344623	0.5799707334462303	3.8016377670306536	False	Ki	IC50
5EDC	O=C(O)c1c(N2CCCCC2)nc2ccc(Cl)cc2c1-c1ccccc1	7.66	5.0	-2.66	457.0881896148752	True	Ki	Ki
3L13	CS(=O)(=O)N1CCN(Cc2cc3nc(-c4cccc(CO)c4)nc(N4CCOCC4)c3s2)CC1	7.82	8.744727494896694	0.9247274948966933	8.408673602423365	False	IC50	IC50
5L3A	CS(=O)(=O)Nc1cccc2[nH]ncc12	4.89	4.900008766455316	0.01000876645531612	1.0233136481794707	False	Kd	Kd
6H4W	CC1(c2cccc(Cl)c2)CCN(CCc2cnn(-c3nccc4c(=O)[nH]cnc34)c2)CC1	6.97	8.301029995663981	1.3310299956639815	21.430386104752145	True	IC50	Ki
2FAH	O=C(O)CC(=O)O	1.3	4.1487416512809245	2.8487416512809247	705.8975121510878	True	Unknown	Ki
5HO7	CSc1nn(C(N)=O)c(N)c1C(N)=O	4.77	4.769551078621726	-0.00044892137827368117	1.0010342141045008	False	IC50	IC50
2B1P	CN(C)CCCC(=O)Nc1cc(C(=O)O)cc(-c2n[nH]c3cc(Nc4ccccc4Cl)ccc23)c1	8.52	8.522878745280337	0.0028787452803378244	1.0066505734673394	False	IC50	IC50
2GM1	Cc1ccc(C(=O)N(CCCN)C(c2nn3ccc(Cl)c3c(=O)n2Cc2ccccc2)C2CC2)cc1	7.0	7.0	0.0	1.0	False	IC50	IC50
1FSG	Nc1nc2cc[nH]c2c(=O)[nH]1	5.02	6.795880017344075	1.7758800173440754	59.687036626339776	True	IC50	Kd
1FSW	O=C(Cc1cccs1)NCB(O)O	6.49	5.187086643357144	-1.302913356642856	20.086920311338353	True	Ki	Ki
5ORR	Nc1snnc1-c1ccc(C(F)(F)F)cc1	3.77	4.443697499232712	0.6736974992327123	4.717343479060396	False	Kd	IC50
5AL4	CN1CCN(c2nc3c(c(=O)[nH]2)CCCC3)CC1	6.52	6.519993057042849	-6.942957150535278e-06	1.000015986877425	False	IC50	IC50
3TDJ	CCN1CNS(=O)(=O)c2cc(F)ccc21	5.25	5.251811972993799	0.0018119729937993156	1.0041809378399085	False	Kd	Kd
3BUG	CCc1cc(CCN)ccc1O	3.18	3.1804560644581312	0.0004560644581310669	1.0010506787993874	False	Kd	Kd
1RM8	CNC(=O)C(Cc1ccccc1)NC(=O)C(CC(C)C)C(CSc1cccs1)C(=O)NO	9.0	9.30099959611422	0.3009995961142202	1.999860009799316	False	Ki	IC50
3VH9	Oc1cccc2cccnc12	6.24	3.669586226650809	-2.570413773349191	371.88937735236664	True	Ki	Ki
4J0A	Cc1ccc(S(=O)(=O)Nc2cc(Oc3ccccc3)ccc2C(=O)O)cc1	6.8	4.522878745280337	-2.2771212547196624	189.28720334405796	True	IC50	IC50
6D55	Cc1cc(Cn2c(N3CC4(CNC4)C3)nc3c(N4CCN(C)CC4)cc(Cl)cc32)cc(C)c1F	7.36	7.356547323513812	-0.0034526764861881887	1.007981767217822	False	Kd	Kd
3IK1	Cc1cccc2c1C(=O)N(c1ccc(C(=O)O)c(O)c1)C2=O	4.85	4.853871964321762	0.003871964321762178	1.0089553890162535	False	Ki	Ki
4O61	O=C(O)CC(O)(CC(=O)O)C(=O)O	4.3	5.136677139879544	0.8366771398795443	6.86557854283935	False	Kd	Kd
4XG9	Cc1nn(-c2ccnc(Nc3ccc4c(c3)c(Cl)c(C)n4C)n2)cc1CN1CC(O)C1	9.15	10.522878745280336	1.3728787452803353	23.598192812804474	True	IC50	IC50
4DMN	COC(C(=O)O)c1c(C)nc2ccc(Br)cc2c1-c1ccc(Cl)cc1	5.64	5.886056647693163	0.24605664769316338	1.7622058867444415	False	IC50	IC50
5EWM	Cc1nccn1Cc1cc(-c2ccc(F)c(C(F)F)c2)cnn1	7.92	7.769551078621726	-0.15044892137827404	1.4139984108745411	False	IC50	IC50
3G15	C[N+]1(C)CCOC(O)(c2ccc(-c3ccc(C4(O)C[N+](C)(C)CCO4)cc3)cc2)C1	7.0	3.6020599913279625	-3.3979400086720375	2499.9999999999995	True	Kd	IC50
4LM3	CC(=O)c1ccc2c(c1)OCCO2	2.92	2.920818753952376	0.0008187539523758502	1.0018870288478456	False	Ki	Ki
4FJZ	Cc1c(-c2ccccn2)nc2cc(F)ccc2c1N1CC2(CCOCC2)c2ncc(N3CCOCC3)cc21	6.29	6.293282217663241	0.003282217663240772	1.0075862160930535	False	Ki	Ki
5D47	COc1cnccc1-c1c(-c2ccccc2)n(CCC(=O)O)c2ccc(C3CC3)cc12	7.0	7.0	0.0	1.0	False	Ki	Ki
6R12	O=C1CC(NC(=O)Cc2ccccc2)C(=O)N1	4.4	4.3979400086720375	-0.0020599913279628623	1.0047545726038332	False	Unknown	Ki
4Z1N	COc1cc2c(cc1OC)CN(C(=O)c1ccc(S(N)(=O)=O)cc1)CC2	8.23	8.229147988357855	-0.0008520116421451007	1.0019637549524312	False	Ki	Ki
3MWU	Nc1ncnc2c1c(Cc1cccc3ccccc13)nn2CC1CCNCC1	8.05	7.823908740944319	-0.22609125905568206	1.6830276814529483	False	IC50	IC50
3F34	CCc1cccc(CC)c1O	3.16	4.900000142057633	1.7400001420576325	54.954105361235676	True	Kd	EC50
1YRS	CC(=O)N1N=C(c2ccccc2Cl)CC1c1cccc(O)c1	6.35	6.346787486224656	-0.003212513775343595	1.0074245123557526	False	IC50	IC50
4ACC	CN(C)CCNS(=O)(=O)c1ccc(-c2cnc(N)c(C(=O)Nc3cccnc3)n2)cc1	7.7	7.698970004336019	-0.0010299956639814312	1.0023744672545452	False	Ki	Ki
2PU0	O=C(CP(=O)(O)O)NO	7.82	7.292429823902063	-0.527570176097937	3.3695365848387446	False	Ki	IC50
4AEL	CCOc1ccccc1-c1ccc(-c2nc3ccncc3c(O)c2C#N)cc1	7.92	7.920818753952375	0.0008187539523749621	1.0018870288478436	False	IC50	IC50
