pdb_id	smiles	PDBbind_pKd	BindingDB_pKd	delta_pKd	fold_diff	conflict	PDBbind_type	BindingDB_type	PDBbind_type_clean	BindingDB_type_clean	type_match	type_match_strict	is_conflict
4YZU	Cc1cc2nc(CCNC(=O)c3ccc(-n4cnnc4)cc3)[nH]c2cc1C	5.05	5.045757490560675	-0.004242509439325	1.0098166088717675	False	Ki	Ki	Ki	Ki	True	True	False
3MW1	[O-][n+]1ccc2c(-c3ccc(F)cc3F)cc(C3CCNCC3)nc2c1-c1c(Cl)cccc1Cl	9.09	9.086186147616283	-0.0038138523837165	1.0088203920661525	False	IC50	IC50	IC50	IC50	True	True	False
2OHL	Nc1ccc2ccccc2n1	3.05	3.903089986991944	0.8530899869919444	7.130007505069977	False	Kd	Kd	Kd	Kd	True	True	False
5YE9	CC(=O)Nc1ccc(S(=O)(=O)Nc2ccc(Oc3ccc4ccccc4c3)c(C#N)c2)cc1	6.45	6.449771646944906	-0.0002283530550943	1.0005259405988818	False	IC50	IC50	IC50	IC50	True	True	False
1T7J	CC(C)CN(CC(O)C(Cc1ccccc1)NC(=O)OC1CCOC1)S(=O)(=O)c1ccc(N)cc1	8.7	9.397940008672036	0.6979400086720364	4.988155787422185	False	Kd	Kd	Kd	Kd	True	True	False
1Y2K	CCOC(=O)c1c(C)nn(-c2cccc([N+](=O)[O-])c2)c1C	7.68	7.481486060122112	-0.1985139398778876	1.579479304664707	False	IC50	IC50	IC50	IC50	True	True	False
3O5X	Cn1c(-c2ccccc2)c(-c2cn(CCC(=O)Nc3ccc(-c4ccccc4)cc3)nn2)c2cc(C(=O)O)c(O)cc21	5.28	5.2839966563652006	0.0039966563652003	1.009245115864946	False	Ki	Ki	Ki	Ki	True	True	False
6OIR	O=C(NNS(=O)(=O)c1ccccc1)c1cc(-c2ccccc2)ccc1F	7.77	7.769551078621726	-0.0004489213782736	1.0010342141045008	False	IC50	IC50	IC50	IC50	True	True	False
5NSP	N#Cc1ccc2c(c1)[nH]c(=O)n2-c1ccc(-c2nnc(-c3ccncn3)n2-c2ccccc2Cl)cc1	6.47	5.0	-1.4699999999999998	29.51209226666384	True	IC50	IC50	IC50	IC50	True	True	True
6OP9	COc1cc(Nc2c(C#N)cnc3cc(OCCCN4CCN(C)CC4)c(OC)cc23)c(Cl)cc1Cl	9.28	5.0	-4.279999999999999	19054.607179632443	True	Kd	Kd	Kd	Kd	True	True	True
5ZK8	C[N+]1(C)C2CC(OC(=O)C(CO)c3ccccc3)CC1C1OC12	8.89	9.356547323513812	0.4665473235138115	2.9278398902116614	False	Kd	Kd	Kd	Kd	True	True	False
6FGQ	CCS(=O)(=O)c1ccc(CC(=O)Nc2cc(-c3cccnc3OCc3ccc(C(=O)OC)cc3)cs2)cc1	7.85	7.67778070526608	-0.17221929473392	1.4866861472066923	False	IC50	IC50	IC50	IC50	True	True	False
4Q7W	Cc1cccc(=S)n1O	2.64	2.638272163982407	-0.0017278360175931	1.0039864141523824	False	Ki	Ki	Ki	Ki	True	True	False
5EDC	O=C(O)c1c(N2CCCCC2)nc2ccc(Cl)cc2c1-c1ccccc1	7.66	5.0	-2.66	457.0881896148752	True	Ki	Ki	Ki	Ki	True	True	True
3L13	CS(=O)(=O)N1CCN(Cc2cc3nc(-c4cccc(CO)c4)nc(N4CCOCC4)c3s2)CC1	7.82	8.744727494896694	0.9247274948966931	8.408673602423365	False	IC50	IC50	IC50	IC50	True	True	False
5L3A	CS(=O)(=O)Nc1cccc2[nH]ncc12	4.89	4.900008766455316	0.0100087664553161	1.023313648179471	False	Kd	Kd	Kd	Kd	True	True	False
5HO7	CSc1nn(C(N)=O)c(N)c1C(N)=O	4.77	4.769551078621726	-0.0004489213782736	1.0010342141045008	False	IC50	IC50	IC50	IC50	True	True	False
2B1P	CN(C)CCCC(=O)Nc1cc(C(=O)O)cc(-c2n[nH]c3cc(Nc4ccccc4Cl)ccc23)c1	8.52	8.522878745280337	0.0028787452803378	1.0066505734673394	False	IC50	IC50	IC50	IC50	True	True	False
2GM1	Cc1ccc(C(=O)N(CCCN)C(c2nn3ccc(Cl)c3c(=O)n2Cc2ccccc2)C2CC2)cc1	7.0	7.0	0.0	1.0	False	IC50	IC50	IC50	IC50	True	True	False
1FSW	O=C(Cc1cccs1)NCB(O)O	6.49	5.187086643357144	-1.302913356642856	20.086920311338357	True	Ki	Ki	Ki	Ki	True	True	True
5AL4	CN1CCN(c2nc3c(c(=O)[nH]2)CCCC3)CC1	6.52	6.519993057042849	-6.942957150535278e-06	1.000015986877425	False	IC50	IC50	IC50	IC50	True	True	False
3TDJ	CCN1CNS(=O)(=O)c2cc(F)ccc21	5.25	5.251811972993799	0.0018119729937993	1.0041809378399085	False	Kd	Kd	Kd	Kd	True	True	False
3BUG	CCc1cc(CCN)ccc1O	3.18	3.1804560644581312	0.000456064458131	1.0010506787993874	False	Kd	Kd	Kd	Kd	True	True	False
3VH9	Oc1cccc2cccnc12	6.24	3.669586226650809	-2.570413773349191	371.8893773523666	True	Ki	Ki	Ki	Ki	True	True	True
4J0A	Cc1ccc(S(=O)(=O)Nc2cc(Oc3ccccc3)ccc2C(=O)O)cc1	6.8	4.522878745280337	-2.2771212547196624	189.287203344058	True	IC50	IC50	IC50	IC50	True	True	True
6D55	Cc1cc(Cn2c(N3CC4(CNC4)C3)nc3c(N4CCN(C)CC4)cc(Cl)cc32)cc(C)c1F	7.36	7.356547323513812	-0.0034526764861881	1.007981767217822	False	Kd	Kd	Kd	Kd	True	True	False
3IK1	Cc1cccc2c1C(=O)N(c1ccc(C(=O)O)c(O)c1)C2=O	4.85	4.853871964321762	0.0038719643217621	1.0089553890162537	False	Ki	Ki	Ki	Ki	True	True	False
4O61	O=C(O)CC(O)(CC(=O)O)C(=O)O	4.3	5.136677139879544	0.8366771398795443	6.86557854283935	False	Kd	Kd	Kd	Kd	True	True	False
4XG9	Cc1nn(-c2ccnc(Nc3ccc4c(c3)c(Cl)c(C)n4C)n2)cc1CN1CC(O)C1	9.15	10.522878745280336	1.3728787452803353	23.598192812804477	True	IC50	IC50	IC50	IC50	True	True	True
4DMN	COC(C(=O)O)c1c(C)nc2ccc(Br)cc2c1-c1ccc(Cl)cc1	5.64	5.886056647693163	0.2460566476931633	1.7622058867444417	False	IC50	IC50	IC50	IC50	True	True	False
5EWM	Cc1nccn1Cc1cc(-c2ccc(F)c(C(F)F)c2)cnn1	7.92	7.769551078621726	-0.150448921378274	1.4139984108745411	False	IC50	IC50	IC50	IC50	True	True	False
4LM3	CC(=O)c1ccc2c(c1)OCCO2	2.92	2.920818753952376	0.0008187539523758	1.0018870288478456	False	Ki	Ki	Ki	Ki	True	True	False
4FJZ	Cc1c(-c2ccccn2)nc2cc(F)ccc2c1N1CC2(CCOCC2)c2ncc(N3CCOCC3)cc21	6.29	6.293282217663241	0.0032822176632407	1.0075862160930535	False	Ki	Ki	Ki	Ki	True	True	False
5D47	COc1cnccc1-c1c(-c2ccccc2)n(CCC(=O)O)c2ccc(C3CC3)cc12	7.0	7.0	0.0	1.0	False	Ki	Ki	Ki	Ki	True	True	False
4Z1N	COc1cc2c(cc1OC)CN(C(=O)c1ccc(S(N)(=O)=O)cc1)CC2	8.23	8.229147988357855	-0.0008520116421451	1.0019637549524312	False	Ki	Ki	Ki	Ki	True	True	False
3MWU	Nc1ncnc2c1c(Cc1cccc3ccccc13)nn2CC1CCNCC1	8.05	7.823908740944319	-0.226091259055682	1.6830276814529483	False	IC50	IC50	IC50	IC50	True	True	False
1YRS	CC(=O)N1N=C(c2ccccc2Cl)CC1c1cccc(O)c1	6.35	6.346787486224656	-0.0032125137753435	1.0074245123557526	False	IC50	IC50	IC50	IC50	True	True	False
4ACC	CN(C)CCNS(=O)(=O)c1ccc(-c2cnc(N)c(C(=O)Nc3cccnc3)n2)cc1	7.7	7.698970004336019	-0.0010299956639814	1.0023744672545452	False	Ki	Ki	Ki	Ki	True	True	False
4AEL	CCOc1ccccc1-c1ccc(-c2nc3ccncc3c(O)c2C#N)cc1	7.92	7.920818753952375	0.0008187539523749	1.0018870288478436	False	IC50	IC50	IC50	IC50	True	True	False
5EM5	CN1CCN(c2ccc(NC(=O)c3c(NCCc4ccc(Cl)cc4)cc[nH]c3=O)cc2)CC1	6.58	6.581698708680254	0.0016987086802542	1.0039190808760992	False	Ki	Ki	Ki	Ki	True	True	False
6CQ4	Nc1nc2oc3ccc(C4CCC(F)(F)CC4)cc3c(=O)c2cc1C(=O)O	4.85	6.431798275933005	1.5817982759330054	38.17669039520961	True	IC50	IC50	IC50	IC50	True	True	True
3HEC	Cc1ccc(NC(=O)c2ccc(CN3CCN(C)CC3)cc2)cc1Nc1nccc(-c2cccnc2)n1	4.47	5.508638306165727	1.0386383061657272	10.930456649651692	True	Kd	Kd	Kd	Kd	True	True	True
3PCE	O=C(O)Cc1cccc(O)c1	2.0	6.899629454882437	4.899629454882437	79365.07936507928	True	Ki	Ki	Ki	Ki	True	True	True
4MOT	C=CCNC(=O)Nc1nc2cc(-c3cccnc3)c(=O)n(CCC(C)C)c2s1	7.3	7.301029995663981	0.0010299956639814	1.0023744672545452	False	IC50	IC50	IC50	IC50	True	True	False
3MOE	O=C(O)C(=O)CS(=O)(=O)O	4.3	4.431798275933005	0.1317982759330052	1.3545600908845203	False	Ki	Ki	Ki	Ki	True	True	False
5QIN	COc1ccc(-c2c(-c3ccnc(NC(C)=O)c3)[nH]c3cccnc23)cn1	10.4	8.522878745280337	-1.877121254719663	75.35659294528749	True	IC50	IC50	IC50	IC50	True	True	True
